domain,count
crsreports.congress.gov,48662
justice.gov,5428
dol.gov,2611
eeoc.gov,2237
epa.gov,1655
hitehouse.gov,915
cftc.gov,776
transportation.gov,695
gao.gov,685
ftc.gov,679
primis.phmsa.dot.gov,679
orders.fdic.gov,655
cdc.gov,638
census.gov,571
state.gov,534
dhs.gov,482
congress.gov,442
archive.epa.gov,441
energy.gov,403
oig.hhs.gov,401
fcc.gov,359
hhs.gov,348
consumerfinance.gov,345
fda.gov,288
archives.gov,276
faa.gov,272
ed.gov,267
usgs.gov,265
finra.org,249
home.treasury.gov,227
apps.fcc.gov,226
federalreserve.gov,217
occ.gov,215
defense.gov,213
cms.gov,200
doi.gov,195
cfpub.epa.gov,192
oversight.house.gov,188
nrc.gov,186
hud.gov,169
loc.gov,160
dni.gov,156
nist.gov,156
cbo.gov,154
sec.gov,151
nasa.gov,147
fws.gov,145
supremecourt.gov,144
fbi.gov,142
oig.dhs.gov,139
cbp.gov,134
nces.ed.gov,133
oig.justice.gov,128
usda.gov,127
ers.usda.gov,126
cisa.gov,125
ncei.noaa.gov,122
dodig.mil,120
acf.hhs.gov,114
imls.gov,111
nps.gov,111
media.defense.gov,109
ice.gov,107
science.nasa.gov,104
osc.gov,103
ams.usda.gov,100
noaa.gov,100
blm.gov,98
va.gov,97
judiciary.senate.gov,95
uscis.gov,92
bia.gov,88
pcaobus.org,87
commerce.gov,83
uspsoig.gov,82
fec.gov,81
blogs.loc.gov,80
fema.gov,77
irs.gov,77
fns.usda.gov,76
ars.usda.gov,75
hsgac.senate.gov,75
ustr.gov,74
fs.usda.gov,74
samhsa.gov,72
bjs.ojp.gov,70
judiciary.house.gov,70
oig.doc.gov,68
gsa.gov,67
anl.gov,64
nifa.usda.gov,63
nrel.gov,60
fisheries.noaa.gov,59
usccr.gov,59
doioig.gov,59
2.ed.gov,59
sba.gov,58
uspto.gov,58
aphis.usda.gov,57
bls.gov,57
nhtsa.gov,56
assets.pcaobus.org,56
pmddtc.state.gov,55
speaker.gov,55
bsee.gov,54
ihs.gov,54
yosemite.epa.gov,54
eia.gov,53
si.edu,52
fhwa.dot.gov,52
fdic.gov,51
fincen.gov,50
usaid.gov,50
ncddc.noaa.gov,49
bts.gov,48
stateoig.gov,48
federalregister.gov,47
science.house.gov,47
cms.ferc.gov,46
help.senate.gov,46
nrcs.usda.gov,45
oversightdemocrats.house.gov,45
homeland.house.gov,44
naturalresources.house.gov,44
nsf.gov,43
about.usps.com,42
research.fs.usda.gov,42
eac.gov,42
neh.gov,41
nichd.nih.gov,41
cha.house.gov,40
ahrq.gov,40
ccr.cancer.gov,39
new.nsf.gov,39
nass.usda.gov,39
usbr.gov,39
coronavirus.house.gov,39
foreignaffairs.house.gov,39
gpo.gov,38
nida.nih.gov,38
dea.gov,38
govinfo.gov,38
ttb.gov,38
efoia.bis.doc.gov,38
fhfa.gov,37
niaid.nih.gov,37
osha.gov,37
ssa.gov,37
fiscal.treasury.gov,36
bnl.gov,36
iarpa.gov,36
medicaid.gov,36
energycommerce.house.gov,36
trade.gov,35
acl.gov,34
bja.ojp.gov,34
science.osti.gov,33
atf.gov,33
fsa.usda.gov,33
tigta.gov,33
cia.gov,32
highways.dot.gov,32
cancer.gov,32
hudexchange.info,32
treasury.gov,32
oig.nasa.gov,32
nsa.gov,31
aspr.hhs.gov,31
globalchange.gov,31
epaoig.gov,31
army.mil,30
records-express.blogs.archives.gov,30
earthdata.nasa.gov,30
huduser.gov,30
uscourts.gov,30
atsdr.cdc.gov,29
opm.gov,29
archives.hud.gov,29
fdlp.gov,28
ferc.gov,28
genome.gov,28
intelligence.house.gov,28
finance.senate.gov,28
climate.gov,27
fmc.gov,27
commerce.senate.gov,27
january6th.house.gov,27
gsaig.gov,26
oig.dot.gov,25
corporate-prosecution-registry.com,25
transportation.house.gov,25
banking.senate.gov,25
cpo.noaa.gov,24
railroads.dot.gov,24
studentaid.gov,24
bis.gov,24
nitrd.gov,24
rd.usda.gov,24
bea.gov,23
hrsa.gov,23
nih.gov,23
ornl.gov,23
oversight.gov,23
sandia.gov,23
2.census.gov,23
chcoc.gov,23
copyright.gov,22
niehs.nih.gov,22
nlm.nih.gov,22
tsa.gov,22
files.consumerfinance.gov,22
regulations.gov,21
ntia.gov,21
onrr.gov,21
performance.gov,21
eather.gov,21
data.permits.performance.gov,21
democrats-naturalresources.house.gov,21
aspe.hhs.gov,20
csrc.nist.gov,20
nnss.gov,20
eda.gov,20
docs.fcc.gov,20
vault.fbi.gov,20
hudoig.gov,20
budget.senate.gov,20
epw.senate.gov,20
foreign.senate.gov,20
medicalcountermeasures.gov,19
nesdis.noaa.gov,19
secretservice.gov,19
