url,Notes,List_Name
https://usda.library.cornell.edu,Partnership with USDA,PURL_server_domains_20240214.csv
https://ertvideo.org,EPA,PURL_server_domains_20240214.csv
https://fraser.stlouisfed.org,Federal Researve Bank,PURL_server_domains_20240214.csv
https://www.dliflc.edu,Department of Defense,PURL_server_domains_20240214.csv
https://clu-in.org,EPA Superfund site,PURL_server_domains_20240214.csv
https://usace.contentdm.oclc.org,US Army Corps of Engineers,PURL_server_domains_20240214.csv
https://www.stsci.edu,NASA,PURL_server_domains_20240214.csv
https://volcano.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://www.dvidshub.net,Department of Defense,PURL_server_domains_20240214.csv
https://agcensus.library.cornell.edu,Partnership with USDA,PURL_server_domains_20240214.csv
https://www.usip.org,Independent institute funded by Congress,PURL_server_domains_20240214.csv
https://www.ni-u.edu,,PURL_server_domains_20240214.csv
https://cdm16021.contentdm.oclc.org,US Army Corps of Engineers,PURL_server_domains_20240214.csv
https://publibrary.planusace.us,,PURL_server_domains_20240214.csv
https://www.npdb-hipdb.com,Created by Congress,PURL_server_domains_20240214.csv
https://www.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://rngr.net,Dept of Agriculture,PURL_server_domains_20240214.csv
https://www.ruralhealthresearch.org,HRSA's Federal Office of Rural Health Policy,PURL_server_domains_20240214.csv
https://inss.ndu.edu,Department of Defense,PURL_server_domains_20240214.csv
https://greatlakes-seaway.com,in part with the Department of Transportation,PURL_server_domains_20240214.csv
https://www.uscgboating.org,Coast Guard,PURL_server_domains_20240214.csv
https://library.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://about.usps.com,US Postal Service,PURL_server_domains_20240214.csv
https://utahavalanchecenter.org,Forest Service funded,PURL_server_domains_20240214.csv
https://repository.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://publications.armywarcollege.edu,Department of Defense,PURL_server_domains_20240214.csv
https://www.marshallcenter.org,Department of Defense,PURL_server_domains_20240214.csv
https://www.airuniversity.af.edu,Air Force,PURL_server_domains_20240214.csv
https://www.clu-in.org,,PURL_server_domains_20240214.csv
https://apcss.org,Department of Defense,PURL_server_domains_20240214.csv
https://www.onetcenter.org,Department of Labor,PURL_server_domains_20240214.csv
https://digital-commons.usnwc.edu,Department of Defense,PURL_server_domains_20240214.csv
https://arit.sirsi.net,Department of Defense,PURL_server_domains_20240214.csv
https://uscgboating.org,Coast Guard,PURL_server_domains_20240214.csv
https://online.onetcenter.org,Department of Labor,PURL_server_domains_20240214.csv
https://es.ndu.edu,Department of Defense,PURL_server_domains_20240214.csv
https://www.nckri.org,Created by Congress,PURL_server_domains_20240214.csv
https://www.dau.edu,Department of Defense,PURL_server_domains_20240214.csv
https://www.hsdl.org,FEMA,PURL_server_domains_20240214.csv
http://www.deepseadrilling.org,,PURL_server_domains_20240214.csv
https://www.jlab.org,Department of Energy,PURL_server_domains_20240214.csv
https://www.cominguptaller.org,,PURL_server_domains_20240214.csv
https://folkways.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://ndupress.ndu.edu,Department of Defense,PURL_server_domains_20240214.csv
https://m.usps.com,US Postal Service,PURL_server_domains_20240214.csv
https://lcweb2.loc.gov:8081,Library of congress,PURL_server_domains_20240214.csv
https://www.ertvideo.org,EPA,PURL_server_domains_20240214.csv
https://www.naric.com,,PURL_server_domains_20240214.csv
https://cic.ndu.edu,Department of Defense,PURL_server_domains_20240214.csv
http://casgc.ucsd.edu,NASA,PURL_server_domains_20240214.csv
https://countrystudies.us,Library of Congress / Army,PURL_server_domains_20240214.csv
https://www.es.net,Department of Energy,PURL_server_domains_20240214.csv
https://www.navysbir.com,Department of Defense,PURL_server_domains_20240214.csv
https://www.coldregions.org,,PURL_server_domains_20240214.csv
https://www.naturalinquirer.org,USDA / Forest Service,PURL_server_domains_20240214.csv
http://www.slac.stanford.edu,Department of Energy,PURL_server_domains_20240214.csv
https://www.landbetweenthelakes.us,USDA / Forest Service,PURL_server_domains_20240214.csv
https://stimson.contentdm.oclc.org,Army,PURL_server_domains_20240214.csv
https://www.improveirs.org,Federal Advisory Committee,PURL_server_domains_20240214.csv
https://www.apcss.org,Department of Defense,PURL_server_domains_20240214.csv
https://www.ushmm.org,,PURL_server_domains_20240214.csv
https://ssi.armywarcollege.edu,Department of Defense,PURL_server_domains_20240214.csv
https://siarchives.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://www.wwiimemorial.com,,PURL_server_domains_20240214.csv
https://fairchild-mil.libguides.com,USAF,PURL_server_domains_20240214.csv
https://smithsonianeducation.org,Smithsonian,PURL_server_domains_20240214.csv
https://tools.usps.com,United States Postal Service,PURL_server_domains_20240214.csv
https://www.hsaj.org,Department of Defense,PURL_server_domains_20240214.csv
https://platteriverprogram.org,Fish and Wildlife Service,PURL_server_domains_20240214.csv
https://pe.usps.com,US Postal Service,PURL_server_domains_20240214.csv
https://npg.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://www.airspacemag.com,Smithsonian,PURL_server_domains_20240214.csv
https://americanhistory.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://forest.moscowfsl.wsu.edu,US Forest Service,PURL_server_domains_20240214.csv
https://www.borenawards.org,,PURL_server_domains_20240214.csv
https://www.chesapeakebay.net,Environmental Protection Agency,PURL_server_domains_20240214.csv
https://wow.uscgaux.info,Homeland Security,PURL_server_domains_20240214.csv
https://calhoun.nps.edu,Navy,PURL_server_domains_20240214.csv
https://www.smithsonianmag.com,Smithsonian,PURL_server_domains_20240214.csv
https://ctr.stanford.edu,w/ NASA,PURL_server_domains_20240214.csv
https://public.ccsds.org,,PURL_server_domains_20240214.csv
https://www.invasive.org,,PURL_server_domains_20240214.csv
https://icatalog.dau.edu,,PURL_server_domains_20240214.csv
https://ienccloud.us,,PURL_server_domains_20240214.csv
https://www.usrds.org,,PURL_server_domains_20240214.csv
https://nmai.si.edu,,PURL_server_domains_20240214.csv
https://www.onetonline.org,,PURL_server_domains_20240214.csv
https://cgsc.contentdm.oclc.org,,PURL_server_domains_20240214.csv
https://ctc.westpoint.edu,,PURL_server_domains_20240214.csv
https://americanindian.si.edu,,PURL_server_domains_20240214.csv
https://press.armywarcollege.edu,,PURL_server_domains_20240214.csv
https://taskbook.nasaprs.com,NASA,PURL_server_domains_20240214.csv
http://www.dvcipm.org,,PURL_server_domains_20240214.csv
https://community.apan.org,Department of Defense,PURL_server_domains_20240214.csv
https://www.usmcu.edu,,PURL_server_domains_20240214.csv
https://facts.usps.com,,PURL_server_domains_20240214.csv
https://themobilityforum.net,,PURL_server_domains_20240214.csv
https://www.internationalboundarycommission.org,,PURL_server_domains_20240214.csv
https://worldwidescience.org,,PURL_server_domains_20240214.csv
https://africa.si.edu,,PURL_server_domains_20240214.csv
https://www.energy2030.org,,PURL_server_domains_20240214.csv
https://www.federalreserveeducation.org,,PURL_server_domains_20240214.csv
https://fedpaymentsimprovement.org,,PURL_server_domains_20240214.csv
https://www.frbservices.org,,PURL_server_domains_20240214.csv
https://fedcommunities.org,,PURL_server_domains_20240214.csv
https://www.bostonfed.org,,PURL_server_domains_20240214.csv
https://www.philadelphiafed.org,,PURL_server_domains_20240214.csv
https://www.clevelandfed.org,,PURL_server_domains_20240214.csv
https://www.richmondfed.org,,PURL_server_domains_20240214.csv
https://www.frbatlanta.org,,PURL_server_domains_20240214.csv
https://www.chicagofed.org,,PURL_server_domains_20240214.csv
https://www.stlouisfed.org,,PURL_server_domains_20240214.csv
https://www.minneapolisfed.org,,PURL_server_domains_20240214.csv
https://www.kansascityfed.org,,PURL_server_domains_20240214.csv
https://www.dallasfed.org,,PURL_server_domains_20240214.csv
https://uas-faa.opendata.arcgis.com,,PURL_server_domains_20240214.csv
https://www.cns-llc.us,,PURL_server_domains_20240214.csv
https://africacenter.org,Department of Defense,PURL_server_domains_20240214.csv
https://naturalhistory.si.edu,Smithsonian,PURL_server_domains_20240214.csv
https://opensi.si.edu,,PURL_server_domains_20240214.csv
https://ni-u.edu,,PURL_server_domains_20240214.csv
https://dhsprogram.com,,PURL_server_domains_20240214.csv
https://www.hfip.org,,PURL_server_domains_20240214.csv
https://eglin.isportsman.net,,PURL_server_domains_20240214.csv
https://landbetweenthelakes.us,,PURL_server_domains_20240214.csv
https://www.cdse.edu,,PURL_server_domains_20240214.csv
https://www.arsof-history.org,,PURL_server_domains_20240214.csv
https://arsof-history.org,,PURL_server_domains_20240214.csv
https://www.whatcanyoudocampaign.org,,PURL_server_domains_20240214.csv
https://www.sare.org,,PURL_server_domains_20240214.csv
https://warroom.armywarcollege.edu,,PURL_server_domains_20240214.csv
https://www.usafa.edu,,PURL_server_domains_20240214.csv
https://mwi.usma.edu,,PURL_server_domains_20240214.csv
https://www.ait.org.tw,,PURL_server_domains_20240214.csv
https://usda-fns.maps.arcgis.com,,PURL_server_domains_20240214.csv
https://www.uscga.edu,,PURL_server_domains_20240214.csv
https://loc.maps.arcgis.com,,PURL_server_domains_20240214.csv
https://nps.edu,,PURL_server_domains_20240214.csv
https://www.jasp-online.org,,PURL_server_domains_20240214.csv
https://www.hdiac.org,,PURL_server_domains_20240214.csv
https://www.rfa.org,,PURL_server_domains_20240214.csv
https://rferl.org,,PURL_server_domains_20240214.csv
https://www.rferl.org,,PURL_server_domains_20240214.csv
https://www.glri.us,,PURL_server_domains_20240214.csv
https://www.mountainhomeafbairspaceeis.com,,PURL_server_domains_20240214.csv
https://smithsonian.figshare.com,,PURL_server_domains_20240214.csv
https://www.manufacturingusa.com,,PURL_server_domains_20240214.csv
https://ipdefenseforum.com,,PURL_server_domains_20240214.csv
https://america250.org,,PURL_server_domains_20240214.csv
https://www.dodea.edu,,PURL_server_domains_20240214.csv
https://reaganudall.org,,PURL_server_domains_20240214.csv
https://tedstevensarcticcenter.org,,PURL_server_domains_20240214.csv
https://gbp-blm-egis.hub.arcgis.com,,PURL_server_domains_20240214.csv
https://research.si.edu,,PURL_server_domains_20240214.csv
https://mwi.westpoint.edu,,PURL_server_domains_20240214.csv
