domain,name
dol.gov,"Wage and Hour Division"
whs.mil,"Washington Headquarters Services"
nws.noaa.gov,"National Weather Service"
westpoint.edu,"U.S. Military Academy, West Point"
wapa.gov,"Western Area Power Administration"
whitehouse.gov,"White House"
fcc.gov,"Wireless Telecommunications Bureau"
dol.gov,"Women's Bureau"
wilsoncenter.org,"Woodrow Wilson International Center for Scholars"
va.gov,"Department of Veterans Affairs"
benefits.va.gov,"Veterans Benefits Administration"
va.gov,"Veterans Health Administration"
dol.gov,"Veterans' Employment and Training Service"
justice.gov,"Office on Violence Against Women"
insidevoa.com,"Voice of America"
abilityone.gov,"U.S. AbilityOne Commission"
access-board.gov,"U.S. Access Board"
africom.mil,"U.S. Africa Command"
usagm.gov,"U.S. Agency for Global Media"
usaid.gov,"U.S. Agency for International Development"
af.mil,"U.S. Air Force"
afrc.af.mil,"U.S. Air Force Reserve Command"
arctic.gov,"U.S. Arctic Research Commission"
army.mil,"U.S. Army"
usace.army.mil,"U.S. Army Corps of Engineers"
usbg.gov,"U.S. Botanic Garden"
uscp.gov,"U.S. Capitol Police"
visitthecapitol.gov,"U.S. Capitol Visitor Center"
census.gov,"Census Bureau"
centcom.mil,"U.S. Central Command"
csb.gov,"Chemical Safety Board"
uscis.gov,"U.S. Citizenship and Immigration Services"
uscg.mil,"U.S. Coast Guard"
cfa.gov,"U.S. Commission of Fine Arts"
uscirf.gov,"U.S. Commission on International Religious Freedom"
cftc.gov,"Commodity Futures Trading Commission"
uscourts.cavc.gov,"U.S. Court of Appeals for Veterans Claims"
uscourts.gov,"U.S. Courts of Appeal"
cbp.gov,"U.S. Customs and Border Protection"
cybercom.mil,"U.S. Cyber Command"
usda.gov,"U.S. Department of Agriculture"
commerce.gov,"U.S. Department of Commerce"
defense.gov,"Department of Defense"
ed.gov,"Department of Education"
energy.gov,"Department of Energy"
hhs.gov,"U.S. Department of Health and Human Services"
dhs.gov,"Department of Homeland Security"
hud.gov,"Department of Housing and Urban Development"
justice.gov,"Department of Justice"
dol.gov,"Department of Labor"
state.gov,"Department of State"
doi.gov,"Department of the Interior"
home.treasury.gov,"Department of the Treasury"
transportation.gov,"Department of Transportation"
va.gov,"Department of Veterans Affairs"
eac.gov,"Election Assistance Commission"
eucom.mil,"U.S. European Command"
usfa.fema.gov,"U.S. Fire Administration"
usff.navy.mil,"U.S. Fleet Forces Command"
usgs.gov,"U.S. Geological Survey"
house.gov,"U.S. House of Representatives"
ice.gov,"U.S. Immigration and Customs Enforcement "
pacom.mil,"Indo-Pacific Command"
dfc.gov,"U.S. International Development Finance Corporation"
usitc.gov,"U.S. International Trade Commission"
marines.mil,"U.S. Marine Corps"
usdoj.gov,"Marshals Service"
westpoint.edu,"U.S. Military Academy, West Point"
usmint.gov,"U. S. Mint"
usun.usmission.gov,"U.S. Mission to the United Nations"
justice.gov,"U.S. National Central Bureau - Interpol"
navy.mil,"U.S. Navy"
northcom.mil,"U.S. Northern Command"
nrc.gov,"Nuclear Regulatory Commission"
justice.gov,"U.S. Parole Commission"
uspto.gov,"U.S. Patent and Trademark Office"
postalinspectors.uspis.gov,"United States Postal Inspection Service"
usps.com,"U.S. Postal Service"
senate.gov,"U.S. Senate"
ussc.gov,"U.S. Sentencing Commission"
southcom.mil,"U.S. Southern Command"
spacecom.mil,"U.S. Space Command"
socom.mil,"U.S. Special Operations Command"
stratcom.mil,"Strategic Command"
ustda.gov,"U.S. Trade and Development Agency"
ustr.gov,"U.S. Trade Representative"
ustranscom.mil,"U.S. Transportation Command"
justice.gov,"U.S. Trustee Program"
udall.gov,"Udall Foundation"
state.gov,"Under Secretary for Political Affairs"
state.gov,"Under Secretary for Public Diplomacy and Public Affairs"
